"pais","fecha","infectados"
"China",2020-01-21 22:00:00,325
"China",2020-01-22 12:00:00,547
"China",2020-01-23 12:00:00,639
"China",2020-01-24 00:00:00,865
"China",2020-01-24 12:00:00,916
"China",2020-01-25 00:00:00,1320
"China",2020-01-25 12:00:00,1399
"China",2020-01-25 22:00:00,1979
"China",2020-01-26 11:00:00,2062
"China",2020-01-26 23:00:00,2737
"China",2020-01-27 09:00:00,2825
"China",2020-01-27 19:00:00,2863
"China",2020-01-27 20:30:00,4409
"China",2020-01-28 13:00:00,4610
"China",2020-01-28 18:00:00,5494
"China",2020-01-28 23:00:00,5970
"China",2020-01-29 13:30:00,6070
"China",2020-01-29 14:30:00,6070
"China",2020-01-29 21:00:00,7678
"China",2020-01-30 11:00:00,8124
"China",2020-01-31 14:00:00,9735
"China",2020-01-31 19:00:00,11221
"China",2020-02-01 10:00:00,11860
"China",2020-02-02 21:00:00,17114
"China",2020-02-03 21:00:00,20014
"China",2020-02-04 09:40:00,20400
"China",2020-02-04 22:00:00,24290
"Otros",2020-01-21 22:00:00,6
"Otros",2020-01-22 12:00:00,8
"Otros",2020-01-23 12:00:00,15
"Otros",2020-01-24 00:00:00,16
"Otros",2020-01-24 12:00:00,25
"Otros",2020-01-25 00:00:00,33
"Otros",2020-01-25 12:00:00,35
"Otros",2020-01-25 22:00:00,35
"Otros",2020-01-26 11:00:00,56
"Otros",2020-01-26 23:00:00,57
"Otros",2020-01-27 09:00:00,61
"Otros",2020-01-27 19:00:00,63
"Otros",2020-01-27 20:30:00,64
"Otros",2020-01-28 13:00:00,80
"Otros",2020-01-28 18:00:00,84
"Otros",2020-01-28 23:00:00,87
"Otros",2020-01-29 13:30:00,96
"Otros",2020-01-29 14:30:00,97
"Otros",2020-01-29 21:00:00,107
"Otros",2020-01-30 11:00:00,111
"Otros",2020-01-31 14:00:00,142
"Otros",2020-01-31 19:00:00,152
"Otros",2020-02-01 10:00:00,164
"Otros",2020-02-02 21:00:00,181
"Otros",2020-02-03 21:00:00,183
"Otros",2020-02-04 09:40:00,188
"Otros",2020-02-04 22:00:00,212
