"region","Lat","Long","value"
"Australia",-33.520175,146.94955,143
"Cambodia",12.5657,104.991,17
"Canada",46.46795,-101.2521,47
"China",33.3542087096774,111.56541483871,181536
"Finland",61.9241,25.7482,11
"France",46.2276,2.2137,97
"Germany",51.1657,10.4515,89
"Hong Kong",22.3193,114.1694,226
"India",20.5937,78.9629,17
"Italy",41.8719,12.5674,14
"Japan",35.6762,139.6503,223
"Macau",22.1987,113.5439,146
"Malaysia",4.2105,101.9758,131
"Nepal",28.3949,84.124,22
"Philippines",12.8797,121.774,15
"Russia",61.524,105.3188,14
"Singapore",1.3521,103.8198,216
"South Korea",37.5665,126.978,153
"Spain",40.4637,-3.7492,5
"Sri Lanka",7.8731,80.7718,16
"Sweden",60.1282,18.6435,7
"Taiwan",23.6978,120.9605,167
"Thailand",13.7563,100.5018,312
"United Arab Emirates",23.4241,53.8478,48
"United Kingdom",55.3781,-3.436,14
"United States of America",40.3143,-102.34188,132
"Vietnam",21.0278,105.8342,76
